locus_tag	ftype	length_bp	gene	EC_number	COG	product
PIDOOLCM_02355	CDS	1374	cysG_1		COG0007	Siroheme synthase
PIDOOLCM_02356	CDS	171				hypothetical protein
PIDOOLCM_02357	CDS	1005	trpS	6.1.1.2	COG0180	Tryptophan--tRNA ligase
PIDOOLCM_02358	CDS	762	gph	3.1.3.18	COG0546	Phosphoglycolate phosphatase
PIDOOLCM_02359	CDS	678	rpe	5.1.3.1	COG0036	Ribulose-phosphate 3-epimerase
PIDOOLCM_02360	CDS	813	dam	2.1.1.72	COG0338	DNA adenine methylase
PIDOOLCM_02361	CDS	1308	damX		COG3266	Cell division protein DamX
PIDOOLCM_02362	CDS	1089	aroB	4.2.3.4	COG0337	3-dehydroquinate synthase
PIDOOLCM_02363	CDS	522	aroK	2.7.1.71	COG0703	Shikimate kinase 1
PIDOOLCM_02364	CDS	1236	pilQ		COG4796	Type IV pilus biogenesis and competence protein PilQ
PIDOOLCM_02365	CDS	456				hypothetical protein
PIDOOLCM_02366	CDS	489				hypothetical protein
PIDOOLCM_02367	CDS	777				hypothetical protein
PIDOOLCM_02368	CDS	2553	mrcA		COG5009	Penicillin-binding protein 1A
PIDOOLCM_02369	CDS	561	nudE	3.6.1.-	COG0494	ADP compounds hydrolase NudE
PIDOOLCM_02370	CDS	2139	igaA			Intracellular growth attenuator protein igaA
PIDOOLCM_02371	CDS	684	yrfG	3.1.3.5	COG1011	GMP/IMP nucleotidase YrfG
PIDOOLCM_02372	CDS	402	hslR		COG1188	Heat shock protein 15
PIDOOLCM_02373	CDS	879	hslO		COG1281	33 kDa chaperonin
PIDOOLCM_02374	CDS	1749				hypothetical protein
PIDOOLCM_02375	CDS	1620	pckA	4.1.1.49	COG1866	Phosphoenolpyruvate carboxykinase (ATP)
PIDOOLCM_02376	CDS	1347	envZ	2.7.13.3		Osmolarity sensor protein EnvZ
PIDOOLCM_02377	CDS	720	ompR_2			Transcriptional regulatory protein OmpR
PIDOOLCM_02378	CDS	474	greB		COG0782	Transcription elongation factor GreB
PIDOOLCM_02379	CDS	2331	yhgF		COG2183	Protein YhgF
PIDOOLCM_02380	CDS	228	feoA		COG1918	Fe(2+) transport protein A
PIDOOLCM_02381	CDS	2319	feoB		COG0370	Fe(2+) transporter FeoB
PIDOOLCM_02382	CDS	240	feoC			putative [Fe-S]-dependent transcriptional repressor FeoC
PIDOOLCM_02383	CDS	783	bioH	3.1.1.85	COG0596	Pimeloyl-[acyl-carrier protein] methyl ester esterase
PIDOOLCM_02384	CDS	684				hypothetical protein
PIDOOLCM_02385	CDS	576	nfuA		COG0316	Fe/S biogenesis protein NfuA
PIDOOLCM_02386	CDS	1317	gntT		COG2610	High-affinity gluconate transporter
PIDOOLCM_02387	CDS	2082	malQ	2.4.1.25	COG1640	4-alpha-glucanotransferase
PIDOOLCM_02388	CDS	2394	malP_1	2.4.1.1	COG0058	Maltodextrin phosphorylase
PIDOOLCM_02389	CDS	2706	malT		COG2909	HTH-type transcriptional regulator MalT
PIDOOLCM_02390	CDS	759	glpR_4		COG1349	Glycerol-3-phosphate regulon repressor
PIDOOLCM_02391	CDS	831	glpG	3.4.21.105	COG0705	Rhomboid protease GlpG
PIDOOLCM_02392	CDS	333	glpE	2.8.1.1	COG0607	Thiosulfate sulfurtransferase GlpE
PIDOOLCM_02393	CDS	1509	glpD	1.1.5.3	COG0578	Aerobic glycerol-3-phosphate dehydrogenase
PIDOOLCM_02394	CDS	2448	malP_2	2.4.1.1	COG0058	Maltodextrin phosphorylase
PIDOOLCM_02395	CDS	1434	glgA	2.4.1.21	COG0297	Glycogen synthase
PIDOOLCM_02396	CDS	1296	glgC	2.7.7.27	COG0448	Glucose-1-phosphate adenylyltransferase
PIDOOLCM_02397	CDS	1974	glgX_2	3.2.1.196	COG1523	Glycogen debranching enzyme
PIDOOLCM_02398	CDS	2187	glgB	2.4.1.18	COG0296	1,4-alpha-glucan branching enzyme GlgB
PIDOOLCM_02399	CDS	1104	asd_2	1.2.1.11	COG0136	Aspartate-semialdehyde dehydrogenase
PIDOOLCM_02400	CDS	594				hypothetical protein
PIDOOLCM_02401	CDS	1341	gntU		COG2610	Low-affinity gluconate transporter
PIDOOLCM_02402	CDS	528	gntK	2.7.1.12	COG3265	Thermoresistant gluconokinase
PIDOOLCM_02403	CDS	1053	gntR_1			HTH-type transcriptional regulator GntR
PIDOOLCM_02404	CDS	696	yhhW	1.13.11.24	COG1741	Quercetin 2,3-dioxygenase
PIDOOLCM_02405	CDS	1035	yhhX	1.-.-.-	COG0673	putative oxidoreductase YhhX
PIDOOLCM_02406	CDS	489	aaaT	2.3.1.-	COG0454	L-amino acid N-acetyltransferase AaaT
PIDOOLCM_02407	CDS	1746	ggt	3.4.19.13	COG0405	Glutathione hydrolase proenzyme
PIDOOLCM_02408	CDS	378	yhhA			putative protein YhhA
PIDOOLCM_02409	CDS	747	ugpQ	3.1.4.46	COG0584	Glycerophosphodiester phosphodiesterase, cytoplasmic
PIDOOLCM_02410	CDS	1071	ugpC	7.6.2.10	COG3839	sn-glycerol-3-phosphate import ATP-binding protein UgpC
PIDOOLCM_02411	CDS	846	lacG			Lactose transport system permease protein LacG
PIDOOLCM_02412	CDS	888	ugpA		COG1175	sn-glycerol-3-phosphate transport system permease protein UgpA
PIDOOLCM_02413	CDS	1317	ugpB		COG1653	sn-glycerol-3-phosphate-binding periplasmic protein UgpB
PIDOOLCM_02414	CDS	714	livF_5		COG0410	High-affinity branched-chain amino acid transport ATP-binding protein LivF
PIDOOLCM_02415	CDS	768	lptB_2	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
PIDOOLCM_02416	CDS	1278				hypothetical protein
PIDOOLCM_02417	CDS	927	livH_2		COG0559	High-affinity branched-chain amino acid transport system permease protein LivH
PIDOOLCM_02418	CDS	1110	livK		COG0683	Leucine-specific-binding protein
PIDOOLCM_02419	CDS	384	panM			PanD regulatory factor
PIDOOLCM_02420	CDS	1095	livJ_1		COG0683	Leu/Ile/Val-binding protein
PIDOOLCM_02421	CDS	1266	puuE_2	2.6.1.19	COG0160	4-aminobutyrate aminotransferase PuuE
PIDOOLCM_02422	CDS	858	rpoH		COG0568	RNA polymerase sigma factor RpoH
PIDOOLCM_02423	CDS	1056	ftsX		COG2177	Cell division protein FtsX
PIDOOLCM_02424	CDS	672	ftsE		COG2884	Cell division ATP-binding protein FtsE
PIDOOLCM_02425	CDS	1458	ftsY		COG0552	Signal recognition particle receptor FtsY
PIDOOLCM_02426	CDS	603	rsmD	2.1.1.171	COG0742	Ribosomal RNA small subunit methyltransferase D
PIDOOLCM_02427	CDS	282				hypothetical protein
PIDOOLCM_02428	CDS	360				hypothetical protein
PIDOOLCM_02429	CDS	627				hypothetical protein
PIDOOLCM_02430	CDS	2175	zntA	3.6.3.3		Zinc/cadmium/lead-transporting P-type ATPase
PIDOOLCM_02431	CDS	972	dctP		COG1638	Solute-binding protein
PIDOOLCM_02432	CDS	510				hypothetical protein
PIDOOLCM_02433	CDS	1287	dctM		COG1593	C4-dicarboxylate TRAP transporter large permease protein DctM
PIDOOLCM_02434	CDS	243	tusA		COG0425	Sulfur carrier protein TusA
PIDOOLCM_02435	CDS	666	yhhQ		COG1738	Queuosine precursor transporter
PIDOOLCM_02436	CDS	558				hypothetical protein
PIDOOLCM_02437	CDS	1218	yhhS			putative MFS-type transporter YhhS
PIDOOLCM_02438	CDS	1050	yhhT_1		COG0628	Putative transport protein YhhT
PIDOOLCM_02439	CDS	723				hypothetical protein
PIDOOLCM_02440	CDS	816				hypothetical protein
PIDOOLCM_02441	CDS	258				hypothetical protein
PIDOOLCM_02442	CDS	252	acpP_2		COG0236	Acyl carrier protein
PIDOOLCM_02443	CDS	597				hypothetical protein
PIDOOLCM_02444	CDS	1350				hypothetical protein
PIDOOLCM_02445	CDS	354				hypothetical protein
PIDOOLCM_02446	CDS	1692				hypothetical protein
PIDOOLCM_02447	CDS	423		3.1.2.28		1,4-dihydroxy-2-naphthoyl-CoA hydrolase
PIDOOLCM_02448	CDS	606	lolA_2			Outer-membrane lipoprotein carrier protein
PIDOOLCM_02449	CDS	2322				hypothetical protein
PIDOOLCM_02450	CDS	579				hypothetical protein
PIDOOLCM_02451	CDS	1170	fabF_2	2.3.1.179	COG0304	3-oxoacyl-[acyl-carrier-protein] synthase 2
PIDOOLCM_02452	CDS	474				hypothetical protein
PIDOOLCM_02453	CDS	732	fabG_5	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
PIDOOLCM_02454	CDS	1230	fabF_3	2.3.1.179	COG0304	3-oxoacyl-[acyl-carrier-protein] synthase 2
PIDOOLCM_02455	CDS	618				hypothetical protein
PIDOOLCM_02456	CDS	405	arnF		COG0697	putative 4-amino-4-deoxy-L-arabinose-phosphoundecaprenol flippase subunit ArnF
PIDOOLCM_02457	CDS	339	arnE		COG0697	putative 4-amino-4-deoxy-L-arabinose-phosphoundecaprenol flippase subunit ArnE
PIDOOLCM_02458	CDS	1656	arnT	2.4.2.43	COG1807	Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase
PIDOOLCM_02459	CDS	903	arnD	3.5.1.-	COG0726	putative 4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase ArnD
PIDOOLCM_02460	CDS	1983	arnA		COG0223	Bifunctional polymyxin resistance protein ArnA
PIDOOLCM_02461	CDS	984	arnC	2.4.2.53	COG0463	Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
PIDOOLCM_02462	CDS	1143	arnB	2.6.1.87	COG0399	UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase
PIDOOLCM_02463	CDS	507	padC	4.1.1.102	COG3479	Phenolic acid decarboxylase PadC
PIDOOLCM_02464	CDS	882	allS			HTH-type transcriptional activator AllS
PIDOOLCM_02465	CDS	795	fabG_6	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
PIDOOLCM_02466	CDS	576				hypothetical protein
PIDOOLCM_02467	CDS	663				hypothetical protein
PIDOOLCM_02468	CDS	1026	alx_1		COG0861	Putative membrane-bound redox modulator Alx
PIDOOLCM_02469	CDS	924	ttuB_4			Putative tartrate transporter
PIDOOLCM_02470	CDS	360				hypothetical protein
PIDOOLCM_02471	CDS	738	kipR		COG1414	HTH-type transcriptional regulator KipR
PIDOOLCM_02472	CDS	693	proA_2	4.1.3.16		4-hydroxy-4-methyl-2-oxoglutarate aldolase/4-carboxy-4-hydroxy-2-oxoadipate aldolase
PIDOOLCM_02473	CDS	954		1.1.1.81	COG0111	Hydroxypyruvate reductase
PIDOOLCM_02474	CDS	1197			COG2081	putative protein
PIDOOLCM_02475	CDS	1500	pitA		COG0306	Low-affinity inorganic phosphate transporter 1
PIDOOLCM_02476	CDS	336	uspB			Universal stress protein B
PIDOOLCM_02477	CDS	438	uspA		COG0589	Universal stress protein A
PIDOOLCM_02478	CDS	807	rsmJ	2.1.1.242		Ribosomal RNA small subunit methyltransferase J
PIDOOLCM_02479	CDS	2043	prlC	3.4.24.70	COG0339	Oligopeptidase A
PIDOOLCM_02480	CDS	843	rlmJ	2.1.1.266	COG2961	Ribosomal RNA large subunit methyltransferase J
PIDOOLCM_02481	CDS	1353	gor	1.8.1.7	COG1249	Glutathione reductase
PIDOOLCM_02482	CDS	783	ant1	2.7.7.47		Streptomycin 3''-adenylyltransferase
PIDOOLCM_02483	CDS	3558	bvgS	2.7.13.3		Virulence sensor protein BvgS
PIDOOLCM_02484	CDS	351				hypothetical protein
PIDOOLCM_02485	CDS	945	ompT	3.4.23.49	COG4571	Protease 7
PIDOOLCM_02486	CDS	1272				hypothetical protein
PIDOOLCM_02487	CDS	2934	rcsC_2	2.7.13.3		Sensor histidine kinase RcsC
PIDOOLCM_02488	CDS	687	rcsB_2		COG2197	Transcriptional regulatory protein RcsB
PIDOOLCM_02489	CDS	1461				hypothetical protein
PIDOOLCM_02490	CDS	1236	prsE_3			Type I secretion system membrane fusion protein PrsE
PIDOOLCM_02491	CDS	2259	apxIB_3		COG2274	Toxin RTX-I translocation ATP-binding protein
PIDOOLCM_02492	CDS	906	ompA_3			Outer membrane protein A
PIDOOLCM_02493	CDS	5385				hypothetical protein
PIDOOLCM_02494	CDS	4908				hypothetical protein
PIDOOLCM_02495	CDS	624	bvgA_1			Virulence factors putative positive transcription regulator BvgA
PIDOOLCM_02496	CDS	1809	treF	3.2.1.28	COG1626	Cytoplasmic trehalase
PIDOOLCM_02497	CDS	1590				hypothetical protein
PIDOOLCM_02498	CDS	540				hypothetical protein
PIDOOLCM_02499	CDS	327				hypothetical protein
PIDOOLCM_02500	CDS	603	yhjB			Putative HTH-type transcriptional regulator YhjB
PIDOOLCM_02501	CDS	759	fabG_7	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
PIDOOLCM_02502	CDS	900	dmlR_9			HTH-type transcriptional regulator DmlR
PIDOOLCM_02503	CDS	1026	yhjD		COG1295	Inner membrane protein YhjD
PIDOOLCM_02504	CDS	1323	yhjE			Inner membrane metabolite transport protein YhjE
PIDOOLCM_02505	CDS	2043				hypothetical protein
PIDOOLCM_02506	CDS	774	pdeH	3.1.4.52		Cyclic di-GMP phosphodiesterase PdeH
PIDOOLCM_02507	CDS	90				hypothetical protein
PIDOOLCM_02508	CDS	930	kdgK_2	2.7.1.45		2-dehydro-3-deoxygluconokinase
PIDOOLCM_02509	CDS	1494	yhjJ		COG0612	Protein YhjJ
PIDOOLCM_02510	CDS	1287	dctA_1		COG1301	Aerobic C4-dicarboxylate transport protein
PIDOOLCM_02511	CDS	2007	pdeK	3.1.4.52		putative cyclic di-GMP phosphodiesterase PdeK
PIDOOLCM_02512	CDS	3483	bcsC		COG0457	Cellulose synthase operon protein C
PIDOOLCM_02513	CDS	1104	bcsZ	3.2.1.4	COG3405	Endoglucanase
PIDOOLCM_02514	CDS	2388	bcsB			Cyclic di-GMP-binding protein
PIDOOLCM_02515	CDS	2616	bcsA	2.4.1.12	COG1215	Cellulose synthase catalytic subunit [UDP-forming]
PIDOOLCM_02516	CDS	753	bcsQ			Cellulose biosynthesis protein BcsQ
PIDOOLCM_02517	CDS	189	yhjR			Protein YhjR
PIDOOLCM_02518	CDS	1563	bcsE			Cyclic di-GMP binding protein BcsE
PIDOOLCM_02519	CDS	195				hypothetical protein
PIDOOLCM_02520	CDS	1680	bcsG			Cellulose biosynthesis protein BcsG
PIDOOLCM_02521	CDS	993		3.2.1.4		Endoglucanase
PIDOOLCM_02522	CDS	963	birA	6.3.4.15	COG0340	Bifunctional ligase/repressor BirA
PIDOOLCM_02523	CDS	1029	murB	1.3.1.98	COG0812	UDP-N-acetylenolpyruvoylglucosamine reductase
PIDOOLCM_02524	rRNA	111				5S ribosomal RNA
PIDOOLCM_02525	CDS	138	tuf1_2			Elongation factor Tu 1
PIDOOLCM_02526	CDS	195	bfd		COG2906	Bacterioferritin-associated ferredoxin
PIDOOLCM_02527	CDS	477	bfr	1.16.3.1	COG2193	Bacterioferritin
PIDOOLCM_02528	CDS	474				hypothetical protein
PIDOOLCM_02529	CDS	312	rpsJ		COG0051	30S ribosomal protein S10
PIDOOLCM_02530	CDS	630	rplC		COG0087	50S ribosomal protein L3
PIDOOLCM_02531	CDS	606	rplD		COG0088	50S ribosomal protein L4
PIDOOLCM_02532	CDS	303	rplW		COG0089	50S ribosomal protein L23
PIDOOLCM_02533	CDS	822	rplB		COG0090	50S ribosomal protein L2
PIDOOLCM_02534	CDS	279	rpsS		COG0185	30S ribosomal protein S19
PIDOOLCM_02535	CDS	333	rplV		COG0091	50S ribosomal protein L22
PIDOOLCM_02536	CDS	702	rpsC		COG0092	30S ribosomal protein S3
PIDOOLCM_02537	CDS	411	rplP		COG0197	50S ribosomal protein L16
PIDOOLCM_02538	CDS	192	rpmC		COG0255	50S ribosomal protein L29
PIDOOLCM_02539	CDS	255	rpsQ		COG0186	30S ribosomal protein S17
PIDOOLCM_02540	CDS	372	rplN		COG0093	50S ribosomal protein L14
PIDOOLCM_02541	CDS	315	rplX		COG0198	50S ribosomal protein L24
PIDOOLCM_02542	CDS	540	rplE		COG0094	50S ribosomal protein L5
PIDOOLCM_02543	CDS	306	rpsN		COG0199	30S ribosomal protein S14
PIDOOLCM_02544	CDS	393	rpsH		COG0096	30S ribosomal protein S8
PIDOOLCM_02545	CDS	534	rplF		COG0097	50S ribosomal protein L6
PIDOOLCM_02546	CDS	354	rplR		COG0256	50S ribosomal protein L18
PIDOOLCM_02547	CDS	501	rpsE		COG0098	30S ribosomal protein S5
PIDOOLCM_02548	CDS	180	rpmD		COG1841	50S ribosomal protein L30
PIDOOLCM_02549	CDS	435	rplO		COG0200	50S ribosomal protein L15
PIDOOLCM_02550	CDS	1332	secY		COG0201	Protein translocase subunit SecY
PIDOOLCM_02551	CDS	357	rpsM		COG0099	30S ribosomal protein S13
PIDOOLCM_02552	CDS	381				hypothetical protein
PIDOOLCM_02553	CDS	621	rpsD		COG0522	30S ribosomal protein S4
PIDOOLCM_02554	CDS	990	rpoA	2.7.7.6		DNA-directed RNA polymerase subunit alpha
PIDOOLCM_02555	CDS	387	rplQ		COG0203	50S ribosomal protein L17
PIDOOLCM_02556	CDS	369				hypothetical protein
PIDOOLCM_02557	CDS	426	zntR		COG0789	HTH-type transcriptional regulator ZntR
PIDOOLCM_02558	CDS	216	arfA		COG3036	Alternative ribosome-rescue factor A
PIDOOLCM_02559	CDS	411	mscL		COG1970	Large-conductance mechanosensitive channel
PIDOOLCM_02560	CDS	120				hypothetical protein
PIDOOLCM_02561	CDS	1377	trkA		COG0569	Trk system potassium uptake protein TrkA
PIDOOLCM_02562	CDS	1287	rsmB	2.1.1.176	COG0144	Ribosomal RNA small subunit methyltransferase B
PIDOOLCM_02563	CDS	948	fmt	2.1.2.9	COG0223	Methionyl-tRNA formyltransferase
PIDOOLCM_02564	CDS	510	def	3.5.1.88	COG0242	Peptide deformylase
PIDOOLCM_02565	CDS	1140				hypothetical protein
PIDOOLCM_02566	CDS	474	smg			Protein Smg
PIDOOLCM_02567	CDS	543	topA_1	5.6.2.1		DNA topoisomerase 1
PIDOOLCM_02568	CDS	573	tsaC	2.7.7.87	COG0009	Threonylcarbamoyl-AMP synthase
PIDOOLCM_02569	CDS	822	aroE	1.1.1.25	COG0169	Shikimate dehydrogenase (NADP(+))
PIDOOLCM_02570	CDS	249				hypothetical protein
PIDOOLCM_02571	CDS	555	yrdA		COG0663	Protein YrdA
PIDOOLCM_02572	rRNA	111				5S ribosomal RNA
PIDOOLCM_02573	CDS	1296	kgtP_1			Alpha-ketoglutarate permease
PIDOOLCM_02574	CDS	324				hypothetical protein
PIDOOLCM_02575	CDS	1356	pssA	2.7.8.8	COG1502	CDP-diacylglycerol--serine O-phosphatidyltransferase
PIDOOLCM_02576	CDS	2664	pat_1	2.3.1.-	COG0454	Peptidyl-lysine N-acetyltransferase Pat
PIDOOLCM_02577	CDS	699				hypothetical protein
PIDOOLCM_02578	CDS	420	trxC	1.8.1.8	COG0526	Thioredoxin 2
PIDOOLCM_02579	CDS	1086	yfiF	2.1.1.-	COG0566	putative tRNA/rRNA methyltransferase YfiF
PIDOOLCM_02580	CDS	690	ung	3.2.2.27	COG0692	Uracil-DNA glycosylase
PIDOOLCM_02581	CDS	384	grcA		COG3445	Autonomous glycyl radical cofactor
PIDOOLCM_02582	CDS	1329	srmB	3.6.4.13	COG0513	ATP-dependent RNA helicase SrmB
PIDOOLCM_02583	CDS	738	yfiC	2.1.1.223	COG4123	tRNA1(Val) (adenine(37)-N6)-methyltransferase
PIDOOLCM_02584	CDS	1620	nadB	1.4.3.16	COG0029	L-aspartate oxidase
PIDOOLCM_02585	CDS	576	rpoE			ECF RNA polymerase sigma-E factor
PIDOOLCM_02586	CDS	651	rseA		COG3073	Anti-sigma-E factor RseA
PIDOOLCM_02587	CDS	954	rseB		COG3026	Sigma-E factor regulatory protein RseB
PIDOOLCM_02588	CDS	477	rseC		COG3086	Protein RseC
PIDOOLCM_02589	CDS	1800	lepA	3.6.5.-	COG0481	Elongation factor 4
PIDOOLCM_02590	CDS	975	lepB	3.4.21.89	COG0681	Signal peptidase I
PIDOOLCM_02591	CDS	681	rnc	3.1.26.3	COG0571	Ribonuclease 3
PIDOOLCM_02592	CDS	906	era		COG1159	GTPase Era
PIDOOLCM_02593	CDS	708	recO		COG1381	DNA repair protein RecO
PIDOOLCM_02594	CDS	732	pdxJ	2.6.99.2	COG0854	Pyridoxine 5'-phosphate synthase
PIDOOLCM_02595	CDS	381	acpS_2	2.7.8.7	COG0736	Holo-[acyl-carrier-protein] synthase
PIDOOLCM_02596	CDS	261	yfhL		COG1145	Ferredoxin YfhL
PIDOOLCM_02597	CDS	849	murR_2		COG1737	HTH-type transcriptional regulator MurR
PIDOOLCM_02598	CDS	894	murQ_1	4.2.1.126	COG2103	N-acetylmuramic acid 6-phosphate etherase
PIDOOLCM_02599	CDS	1362				PTS system EIIBC component
PIDOOLCM_02600	CDS	636	pgpC	3.1.3.27	COG0560	Phosphatidylglycerophosphatase C
PIDOOLCM_02601	CDS	540	tadA	3.5.4.33	COG0590	tRNA-specific adenosine deaminase
PIDOOLCM_02602	CDS	1551	mltF	4.2.2.-	COG4623	Membrane-bound lytic murein transglycosylase F
PIDOOLCM_02603	CDS	3888	purL	6.3.5.3	COG0046	Phosphoribosylformylglycinamidine synthase
PIDOOLCM_02604	CDS	1428	qseE	2.7.13.3		Sensor histidine kinase QseE
PIDOOLCM_02605	CDS	738	qseG			Quorum-sensing regulator protein G
PIDOOLCM_02606	CDS	1338	qseF		COG2204	Transcriptional regulatory protein QseF
PIDOOLCM_02607	CDS	339	glnB		COG0347	Nitrogen regulatory protein P-II
PIDOOLCM_02608	CDS	1191	hmp	1.14.12.17	COG1017	Flavohemoprotein
PIDOOLCM_02609	CDS	1254	glyA	2.1.2.1	COG0112	Serine hydroxymethyltransferase
PIDOOLCM_02610	CDS	423	yphA		COG2259	Inner membrane protein YphA
PIDOOLCM_02611	CDS	1140	hcaT			putative 3-phenylpropionic acid transporter
PIDOOLCM_02612	CDS	1278				hypothetical protein
PIDOOLCM_02613	CDS	639				hypothetical protein
PIDOOLCM_02614	CDS	981				hypothetical protein
PIDOOLCM_02615	CDS	804	suhB	3.1.3.25	COG0483	Inositol-1-monophosphatase
PIDOOLCM_02616	CDS	726	trmJ	2.1.1.200	COG0565	tRNA (cytidine/uridine-2'-O-)-methyltransferase TrmJ
PIDOOLCM_02617	CDS	492	iscR		COG1959	HTH-type transcriptional regulator IscR
PIDOOLCM_02618	CDS	1215	iscS	2.8.1.7	COG1104	Cysteine desulfurase IscS
PIDOOLCM_02619	CDS	387	iscU		COG0822	Iron-sulfur cluster assembly scaffold protein IscU
PIDOOLCM_02620	CDS	324	iscA		COG0316	Iron-binding protein IscA
PIDOOLCM_02621	CDS	516	hscB		COG1076	Co-chaperone protein HscB
PIDOOLCM_02622	CDS	1851	hscA		COG0443	Chaperone protein HscA
PIDOOLCM_02623	CDS	336	fdx		COG0633	2Fe-2S ferredoxin
PIDOOLCM_02624	CDS	201	iscX		COG2975	Protein IscX
PIDOOLCM_02625	CDS	1287	pepB	3.4.11.23	COG0260	Peptidase B
PIDOOLCM_02626	CDS	777				hypothetical protein
PIDOOLCM_02627	CDS	771				hypothetical protein
PIDOOLCM_02628	CDS	846	sseA	2.8.1.2	COG2897	3-mercaptopyruvate sulfurtransferase
PIDOOLCM_02629	CDS	1368	malH	3.2.1.122	COG1486	Maltose-6'-phosphate glucosidase
PIDOOLCM_02630	CDS	1545	ptsG_4	2.7.1.199		PTS system glucose-specific EIICBA component
PIDOOLCM_02631	CDS	4953	yfhM		COG2373	Alpha-2-macroglobulin
PIDOOLCM_02632	CDS	2325	pbpC		COG4953	Penicillin-binding protein 1C
PIDOOLCM_02633	CDS	432	ndk	2.7.4.6	COG0105	Nucleoside diphosphate kinase
PIDOOLCM_02634	CDS	1167	rlmN	2.1.1.192	COG0820	Dual-specificity RNA methyltransferase RlmN
PIDOOLCM_02635	CDS	1014	rodZ		COG1426	Cytoskeleton protein RodZ
PIDOOLCM_02636	CDS	1119	ispG	1.17.7.3	COG0821	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin)
PIDOOLCM_02637	CDS	1275	hisS	6.1.1.21	COG0124	Histidine--tRNA ligase
PIDOOLCM_02638	CDS	621				hypothetical protein
PIDOOLCM_02639	CDS	1179	bamB		COG1520	Outer membrane protein assembly factor BamB
PIDOOLCM_02640	CDS	1476	der		COG1160	GTPase Der
PIDOOLCM_02641	CDS	417				hypothetical protein
PIDOOLCM_02642	CDS	393				hypothetical protein
PIDOOLCM_02643	CDS	294				hypothetical protein
PIDOOLCM_02644	CDS	1545	dtpT		COG3104	Di-/tripeptide transporter
PIDOOLCM_02645	CDS	222	yfgJ			putative protein YfgJ
PIDOOLCM_02646	CDS	351				hypothetical protein
PIDOOLCM_02647	CDS	1020	prtS	3.4.24.-		Protease PrtS
PIDOOLCM_02648	CDS	1374	xseA	3.1.11.6	COG1570	Exodeoxyribonuclease 7 large subunit
PIDOOLCM_02649	CDS	1467	guaB	1.1.1.205	COG0516	Inosine-5'-monophosphate dehydrogenase
PIDOOLCM_02650	CDS	1578	guaA	6.3.5.2	COG0518	GMP synthase [glutamine-hydrolyzing]
PIDOOLCM_02651	CDS	261				hypothetical protein
PIDOOLCM_02652	CDS	378				hypothetical protein
PIDOOLCM_02653	CDS	2379				hypothetical protein
PIDOOLCM_02654	CDS	492	hcpA_5		COG3157	Major exported protein
PIDOOLCM_02655	CDS	276				hypothetical protein
PIDOOLCM_02656	CDS	516				hypothetical protein
PIDOOLCM_02657	CDS	936	murR_3			HTH-type transcriptional regulator MurR
PIDOOLCM_02658	CDS	1506	bauC	1.2.1.-	COG1012	Putative 3-oxopropanoate dehydrogenase
PIDOOLCM_02659	CDS	1926	iolD	3.7.1.22	COG3962	3D-(3,5/4)-trihydroxycyclohexane-1,2-dione hydrolase
PIDOOLCM_02660	CDS	987	iolG_2	1.1.1.18	COG0673	Myo-inositol 2-dehydrogenase
PIDOOLCM_02661	CDS	930	rbsB_2		COG1879	Ribose import binding protein RbsB
PIDOOLCM_02662	CDS	1548	rbsA_3	7.5.2.7	COG1129	Ribose import ATP-binding protein RbsA
PIDOOLCM_02663	CDS	1029	rbsC_3		COG1172	Ribose import permease protein RbsC
PIDOOLCM_02664	CDS	1134	iolG_3	1.1.1.369		Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase
PIDOOLCM_02665	CDS	1905	iolC_1	2.7.1.92		5-dehydro-2-deoxygluconokinase
PIDOOLCM_02666	CDS	891	iolE_2	4.2.1.44	COG1082	Inosose dehydratase
PIDOOLCM_02667	CDS	825	iolB	5.3.1.30	COG3718	5-deoxy-glucuronate isomerase
PIDOOLCM_02668	CDS	744				hypothetical protein
PIDOOLCM_02669	CDS	465				hypothetical protein
PIDOOLCM_02670	CDS	1230				hypothetical protein
PIDOOLCM_02671	CDS	891	cmpR_1			HTH-type transcriptional activator CmpR
PIDOOLCM_02672	CDS	171	yfgG			Protein YfgG
PIDOOLCM_02673	CDS	2241	pdeF	3.1.4.52		Cyclic di-GMP phosphodiesterase PdeF
PIDOOLCM_02674	CDS	1539	ppx	3.6.1.11	COG0248	Exopolyphosphatase
PIDOOLCM_02675	CDS	2061	ppk	2.7.4.1	COG0855	Polyphosphate kinase
PIDOOLCM_02676	CDS	642	purN	2.1.2.2	COG0299	Phosphoribosylglycinamide formyltransferase
PIDOOLCM_02677	CDS	1038	purM	6.3.3.1	COG0150	Phosphoribosylformylglycinamidine cyclo-ligase
